# Amusing_Name,redshift_amusing,def_name,SN_name,SN_type,pgc,hl_names(pgc),objtype,al1950,de1950,celposb(pgc),al2000,de2000,celposj(pgc),l2,b2,sgl,sgb,f_astrom,type,bar,ring,multiple,compactness,t,e_t,logd25,e_logd25,logr25,e_logr25,pa,brief,e_brief,ut,e_ut,bt,e_bt,vt,e_vt,it,e_it,kt,e_kt,ube,bve,vmaxg,e_vmaxg,vmaxs,e_vmaxs,vdis,e_vdis,mg2,e_mg2,m21,e_m21,mfir,vrad,e_vrad,vopt,e_vopt,v,e_v,ag,ai,incl,a21,logdc,btc,ubtc,bvtc,bri25,vrot,e_vrot,m21c,hic,vlg,vgsr,vvir,v3k,modz,e_modz,mod0,e_mod0,modbest,e_modbest,mabs,e_mabs,Pointings,RA_pointing,DEC_pointing,Source,RA_DSS,DEC_DSS,offset_RA,offset_DEC,,SNX,SNY,GALX,GALY,,RA_SN,DEC_SN,RA_GAL,DEC_GAL,SN_name
Mrk842,0.022202,MRK0842,ASASSN14dz,Ia,53895,SDSSJ150554.86+124439.1/PGC053895/NPM1G+12.0420/MRK0842/MCG+02-38-039/KPG452A/CGCG076-150/ARK470/2MASXJ15055484+1244397,G,15.0589113,12.9369916,B150332.1+125613,15.0985737,12.7442542,J150554.9+124439,15.0698828,55.4324355,111.6022158,34.5631843,0,S0-a,B,,,,-1.3,1.5,805,61,225,28,127.62,20611,337,16666,75,15289,309,,,13878,54,11439,45,,,,,,,,,,,,,,,,6641.2,2.3,6641.2,2.3,0.16,0.0,63.05,0.04,812,15.03,,,23.01,,,,,6660.4,6686.1,6826.0,6818.1,34989,159,,,34989,159,-19.96,347,1.0,15:05:55,12:44:39,P96,15:05:54.87,12:44:39.32,2.02020000012,3.68487999999,,188,187,164,171,,15:05:54.522,12:44:43.33,15:05:54.859,12:44:39.10,ASASSN14dz
PGC053612,0.022722,MCG-01-38-015,ASASSN14eu,Ia-00cx,53612,PGC160381/PGC053612/NPM1G-03.0530/MCG-01-38-015/6dFJ1500389-035130/2MASXJ15003885-0351294,G,14.9672194,-3.6607765,B145802.0-033939,15.0107941,-3.8582018,J150038.9-035130,353.1191449,46.0434449,130.021017,28.8361167,0,E,,,,,-4.3,1.8,1.06,45,0.12,28,154.5,,,,,14.93,305,,,,,9963,58,,,,,,,,,,,,,,,,6860.4,38.3,6860.4,38.3,666,0.0,57.1,0.03,1155,14161,,,24086,,,,,6807.0,6852.3,6967.1,7061.5,35029,156,,,35029,156,-20868,343,1.0,15:00:39,-3:51:30,P96,15:00:38.86,-03:51:29.53,-27.8814,40.52648,,,,,,,15:00:37,-3:50:49,,,ASASSN14eu
anon61,0.019597,2MASXJ20220000-5147474,ASASSN14ew,Ia,3922357,6dFJ2022000-514748/2MASXJ20220000-5147474,G,20.3045817,-51.9563909,B201816.5-515723,20.3666679,-51.7965309,J202200.0-514748,346.9447099,-34.7643413,220.553429,19.8907209,0,,,,,,,,,,,,140.0,,,,,15.99,0.5,,,,,12917,118,,,,,,,,,,,,,,,,5875.9,30.8,5875.9,30.8,252,,,,,15679,,,,,,,,5816.9,5836.1,5727.0,5743.0,34601,0.19,,,34601,0.19,-18921,535,1.0,20:22:00,-51:47:48,P96,20:22:000.0,-51:47:47.51,14.9333999999,2.51124,,113,149,154,144,,20:22:01,-51:47:45,,,ASASSN14ew
ESO416-G039,0.022589,ESO416-G039,ASASSN14fa,Ia,10872,PGC010872/ESOLV4160390/ESO416-039/DRCG42-002/6dFJ0252223-314902/2MIG0342/2MASXJ02522234-3149024/2DFGRSS467Z115,G,2.8380263,-32.0214941,B025016.9-320117,2.8728736,-31.8172747,J025222.3-314902,230.3766812,-63.3530131,268.3940197,-32.9250909,0,S0,,,,,-2.2,0.9,921,44,107,25,8.19,20214,0.49,,,14979,236,,,12.79,77,10759,62,,,,,,,,,,,,,,,,6697.7,30.5,6697.7,30.5,88,0.0,45.67,0.02,927,14791,,,23325,,,,,6613.4,6608.8,6449.3,6543.0,34867,169,,,34867,169,-20076,0.29,1.0,02:52:22,-31:49:02,P96,02:52:22.34,-31:49:02.19,9.8256,-15.81108,,122,72,167,149,,02:52:23,-31:49:18,,,ASASSN14fa
PGC043070,0.015367,PGC043070,ASASSN14fd,Iin,43070,[DCL86]188/PGC043070/LGG305:[G93]027,G,12.7249557,-40.5406947,B124329.8-403227,12.7707702,-40.8138371,J124614.8-404850,301.8721278,22.0472839,155.8563133,-11.81994,1,,,,,,,,898,0.06,195,32,16.0,,,,,16.83,0.33,,,14.81,93,12.74,0.15,,,,,,,,,,,,,,,,4652.0,58.8,4652.0,58.8,474,,51.48,0.03,,16.31,,,25058,,,,,4387.9,4476.4,4515.0,4935.7,34093,242,,,34093,242,-17783,409,1.0,12:46:15,-40:48:47,P96,12:46:14.77,-40:48:49.81,3.40919999999,-3.18644,,176,137,170,158,,12:46:15,-40:48:53,,,ASASSN14fd
anon64,0.03362,2MASXJ01504127-1431032,ASASSN14hr,Ia,923603,PGC923603/6dFJ0150413-143103/2MASXJ01504127-1431032,G,1.804314,-14.7648025,B014815.5-144553,1.8447944,-14.5175279,J015041.3-143103,173.4818186,-71.3060496,285.7079074,-16.9791874,0,S0-a,,,,,-1.0,2.0,0.87,58,0.19,28,103.5,,,,,15.59,0.5,,,,,12428,0.12,,,,,,,,,,,,,,,,10079.0,39.3,10079.0,39.3,65,0.0,57.28,0.03,869,15374,,,23642,,,,,10116.6,10077.9,9920.0,9816.8,35807,0.11,,,35807,0.11,-20434,512,1.0,01:50:41,-14:31:03,P96,01:50:41.26,-14:31:003.1,-3.89759999999,-1.89956,,169,143,169,151,,1:50:41.230,-14:31:4.75,1:50:41.279,-14:31:3.21,ASASSN14hr
ESO058-G012,0.01500,ESO058-G012,ASASSN14hu,Ia,19494,PGC019494/IRAS06437-6935/ESOLV0580120/ESO058-012/2MFGC05370/2MASXJ06432165-6938293,G,6.7290386,-69.588881,B064344.5-693520,6.7226826,-69.6414667,J064321.7-693829,280.1742382,-26.0023749,207.7033748,-36.0367864,0,Sbc,,,,,4.4,3.0,1062,41,673,0.03,51.37,22059,673,,,15.37,0.2,,,13.6,77,11547,116,,,,,,,,,,,,,,,,9080.0,270.0,9080.0,270.0,312,1048,90.0,0.83,1064,13952,,,23237,,,,,8808.6,8873.1,8773.0,9171.5,35541,141,,,35541,141,-21589,244,1.0,06:43:22,-69:38:30,P96,06:43:21.66,-69:38:29.28,80.1396000001,14.28012,,21,249,159,167,,06:43:27,-69:38:15,,,ASASSN14hu
ESO113-G032,0.029000,ESO113-G032,ASASSN14ig,Ia,4581,PGC353827/PGC004581/ESOLV1130320/ESO113-032/2MASXJ01160496-6137196,G,1.2364771,-61.8858901,B011411.3-615309,1.2680619,-61.6222255,J011605.0-613720,297.7960806,-55.2594969,235.9900548,-16.2729946,0,Sb,,,,,3.1,0.5,1216,31,519,22,55.56,21574,413,,,14.43,0.2,,,13.18,159,10205,359,,,,,,,,,,,,,,,,8818.0,65.0,8818.0,65.0,0.09,716,80.39,0.1,1204,13558,,,23432,,,,,8673.0,8697.7,8541.6,8707.6,35477,128,,,35477,128,-21.92,238,1.0,01:16:04,-61:37:15,P96,01:16:05.02,-61:37:20.01,-0.342600000005,4.01179999999,,223,160,222,145,,1:16:4.950,-61:37:16.60,1:16:4.893,-61:37:20.03,ASASSN14ig
ESO462-G009,0.019277,ESO462-G009,ASASSN14iz,IIP,64537,PGC064537/MCG-05-48-003/IRAS20186-3127/ESOLV4620090/ESO462-009/6dFJ2021516-311723/2MASXJ20215157-3117233,G,20.3123521,-31.4497338,B201844.5-312659,20.364331,-31.2897203,J202151.6-311723,11.3254451,-31.9487739,230.3038058,38.5839034,0,SBa,B,R,,,1.1,0.5,1.03,38,0.23,27,162.26,21554,416,,,14688,187,14.7,0.1,12786,252,11038,85,,,,,,,,,,,,,13443,,,5773.1,17.4,5773.1,17.4,298,0.21,58.76,0.03,1049,14108,,,23322,,,,,5823.5,5815.5,5722.8,5564.4,34601,0.19,,,34601,0.19,-20493,266,1.0,20:21:52,-31:17:23,P96,20:21:51.59,-31:17:22.99,-23.8739999999,15.99308,,277,239,166,156,,20:21:50,-31:17:07,,,ASASSN14iz
ESO467-G051,0.006031,ESO467-G051,ASASSN14jb,IIP,68726,RFGC3935/PGC735001/PGC068726/MCG-05-52-070/FGCE1739/ESOLV4670510/ESO467-051/AGC035340,G,22.34111,-29.2341986,B222028.0-291403,22.3881159,-28.9808773,J222317.2-285851,20.8476963,-57.3940774,254.8766492,22.7360538,1,Sc,,,,,6.0,1.0,1435,0.02,933,27,100.64,22696,1178,,,14359,0.61,,,13539,48,14.22,0.1,,0.91,60.12,1.16,,,,,,,14.24,92,,1805.3,4.2,1771.6,19.6,1803.8,5.7,81,1559,90.0,0.83,1405,12712,,,23527,60.12,,13414,702,1874.4,1846.9,1704.2,1511.1,31968,637,,,31968,637,-19256,882,1.0,22:23:16,-28:58:51,P96,22:23:17.22,-28:58:51.16,-18.2585999999,20.15828,,251,259,207,153,,22:23:16,-28:58:31,,,ASASSN14jb
